latitude ,longitude
38.882519,-77.108924
38.881255,-77.114013
38.882029,-77.103834
38.87381,-77.105617
38.887928,-77.092094
38.890827,-77.086803
38.89487,-77.074021
38.895775,-77.070747
38.886726,-77.02821
38.887351,-77.022753
38.876292,-77.007456
38.804382,-77.060178
38.804382,-77.060178
38.873887,-77.230694
38.872432,-77.228415
38.86963,-77.146509
38.863732,-77.084525
38.86246,-77.088182
38.853287,-77.053847
"38.826374,",-77.058612
38.824275,-77.058372
38.831469,-77.193177
38.842478,-77.270384
38.88298,-77.172265